Titles,DOIs
Poverty and environmental nexus in rural pakistan: a multidimensional approach,10.1007/S10708-019-10090-6
Policy options to support climate-induced migration: insights from disaster relief in china,10.1007/S11027-012-9438-7
Mapping flood pressure points: assessing vulnerability of the uk fire service to flooding,10.1007/S11069-007-9145-Y
Learning from (small) disasters,10.1007/S11069-010-9498-5
"Flood, drought and typhoon disasters during the last half-century in the guangdong province, china",10.1007/S11069-010-9611-9
Formula of incipient velocity for flooded vehicles,10.1007/S11069-010-9639-X
A comparative analysis of the loss of life during two recent floods in france: the sea surge caused by the storm xynthia and the flash flood in var,10.1007/S11069-011-9975-5
Assessing multifaceted vulnerability and resilience in order to design risk-mitigation strategies,10.1007/S11069-012-0134-4
The missing link between flood risk awareness and preparedness: findings from case studies in an alpine region,10.1007/S11069-012-0161-1
"Vulnerability, hazards and multiple risk assessment for georgia",10.1007/S11069-012-0374-3
"Case study of a giant debris flow in the wenjia gully, sichuan province, china",10.1007/S11069-012-0395-Y
"Rainfall variability, floods and adaptations of the urban poor to flooding in kumasi, ghana",10.1007/S11069-012-0452-6
"A review of the assessment and mitigation of floods in sindh, pakistan",10.1007/S11069-013-0850-4
Study of the comprehensive risk analysis of dam-break flooding based on the numerical simulation of flood routing. Part i: model development,10.1007/S11069-014-1154-Z
Assessing physical vulnerability in large cities exposed to flash floods and debris flows: the case of arequipa (peru),10.1007/S11069-014-1172-X
A flash flood hazard assessment in dry valleys (northern france) by cellular automata modelling,10.1007/S11069-014-1470-3
Assessing the influence of watershed characteristics on the flood vulnerability of jhelum basin in kashmir himalaya,10.1007/S11069-015-1605-1
A macro-scale flood risk model for jamaica with impact of climate variability,10.1007/S11069-015-1712-Z
Flash flood occurrence and magnitude assessment in an alluvial fan context: the october 2011 event in the southern apennines,10.1007/S11069-015-1728-4
Community participation in flood mapping in the amazon through interdisciplinary methods,10.1007/S11069-015-1782-Y
Stakeholder perspectives on barriers to landslide risk governance,10.1007/S11069-015-1787-6
"An agricultural flash flood loss estimation methodology: the case study of the koiliaris basin (greece), february 2003 flood",10.1007/S11069-015-1882-8
Dynamic vulnerability factors for impact-based flash flood prediction,10.1007/S11069-015-1910-8
Methodology of flood risk assessment from flash floods based on hazard and vulnerability of the river basin,10.1007/S11069-015-1945-X
The effectiveness and need for flash flood warning systems in a regional inland city in australia,10.1007/S11069-015-1962-9
"Devastation in the kedarnath (mandakini) valley, garhwal himalaya, during 16-17 june 2013: a remote sensing and ground-based assessment",10.1007/S11069-015-2033-Y
Kedarnath disaster 2013: causes and consequences using remote sensing inputs,10.1007/S11069-015-2076-0
Investigation of uttarakhand (india) disaster-2013 using weather research and forecasting model,10.1007/S11069-016-2264-6
Multi-vulnerability analysis for flash flood risk management,10.1007/S11069-016-2296-Y
Rainstorm flash flood risk assessment using genetic programming: a case study of risk zoning in beijing,10.1007/S11069-016-2325-X
Exploring underlying causes and assessing damages of 2010 flash flood in the upper zone of panjkora river,10.1007/S11069-016-2386-X
"Reconstruction of a flash flood event through a multi-hazard approach: focus on the rwenzori mountains, uganda",10.1007/S11069-016-2458-Y
Micro-sized enterprises: vulnerability to flash floods,10.1007/S11069-016-2476-9
"Vulnerability of flash flooding in riyadh, saudi arabia",10.1007/S11069-016-2521-8
Targeting flash flood potential areas using remotely sensed data and gis techniques,10.1007/S11069-016-2556-X
An index of brazil's vulnerability to expected increases in natural flash flooding and landslide disasters in the context of climate change,10.1007/S11069-016-2705-2
Enhancing the effectiveness of flood road gauges with color coding,10.1007/S11069-017-2856-9
Flash flood vulnerability assessment for small catchments with a material flow approach,10.1007/S11069-017-2887-2
"Management of non-structural measures in the prevention of flash floods: a case study in the city of duque de caxias, state of rio de janeiro, brazil",10.1007/S11069-017-2966-4
"Assessment of coastal communities' vulnerability to floods using indicator-based approach: a case study of greater accra metropolitan area, ghana",10.1007/S11069-017-2985-1
An approach to quality validation of large-scale data from the chinese flash flood survey and evaluation (cffse),10.1007/S11069-017-2986-0
Towards a better understanding of the evolution of the flood risk in mediterranean urban areas: the case of barcelona,10.1007/S11069-017-3014-0
A multi-component flood risk assessment in the maresme coast (nw mediterranean),10.1007/S11069-017-3042-9
Analysis of flash flood disaster characteristics in china from 2011 to 2015,10.1007/S11069-017-3052-7
Different types of flooding lead to different human and material damages: the case of the lisbon metropolitan area,10.1007/S11069-017-3153-3
"A comprehensive flash flood defense system in china: overview, achievements, and outlook",10.1007/S11069-018-3221-3
"Flood prediction and mitigation in coastal tourism areas, a case study: hurghada, egypt",10.1007/S11069-018-3316-X
A physically based spatiotemporal method of analyzing flood impacts on urban road networks,10.1007/S11069-019-03630-3
"A comprehensive flash flood defense system in china: overview, achievements, and outlook (vol 92, pg 727, 2018)",10.1007/S11069-019-03783-1
"The nexus between extreme weather events, sexual violence, and early marriage: a study of vulnerable populations in bangladesh",10.1007/S11111-019-0312-3
Loss of life estimation due to flash floods in residential areas using a regional model,10.1007/S11269-018-2071-9
Comprehensive assessment and rechecking of rainfall threshold for flash floods based on the disaster information,10.1007/S11269-019-02321-9
Urban flood inundation and damage assessment based on numerical simulations of design rainstorms with different characteristics,10.1007/S11431-019-1523-2
Flood risk assessment and mapping using ahp in arid and semiarid regions,10.1007/S11600-018-0233-Z
Impacts of global warming perturbation on water resources in arid zone: case study of kaidu river basin in northwest china,10.1007/S11629-011-2180-X
Torrential flood prevention in the kolubara river basin,10.1007/S11629-017-4575-9
Rainfall occurrence and its relation to flood damage in china from 2000 to 2015,10.1007/S11629-018-4931-4
"Flash flood susceptibility modelling using geomorphometric approach in the ushairy basin, eastern hindu kush",10.1007/S12040-019-1111-Z
Examining the latent structure of posttraumatic growth between male and female survivors in the immediate aftermath of a flash flood disaster,10.1007/S12144-015-9325-Y
Assessing the factor structure of acute stress disorder symptoms among filipino adolescent survivors of a deadly flash flood disaster,10.1007/S12187-015-9340-4
Assessing flash flood hazard in an arid mountainous region,10.1007/S12517-011-0411-7
"Use of geological and geomorphological parameters in potential suitability assessment for urban planning development at wadi al-asla basin, jeddah, kingdom of saudi arabia",10.1007/S12517-014-1663-9
"Geoinformatics application for assessing the potential of rainwater harvesting in arid regions. Case study: el daba'a area, northwestern coast of egypt",10.1007/S12517-015-1837-0
Compilation of historical floods catalog of northwestern algeria: first step towards an atlas of extreme floods,10.1007/S12517-016-2490-Y
Flash floods risk analysis in ephemeral streams: a case study on wadi mekerra (northwestern algeria),10.1007/S12517-016-2624-2
"Causes and impacts of flash floods: case of gabes city, southern tunisia",10.1007/S12517-020-5149-7
Transforming rice cultivation in flood prone coastal odisha to ensure food and economic security,10.1007/S12571-017-0696-9
Disaster management dynamics - an analysis of chaos from the flash flood (2013) in the fragile himalayan system,10.1007/S12594-019-1180-2
"Gis-based estimation of flood hazard impacts on road network in makkah city, saudi arabia",10.1007/S12665-012-1660-9
"Natural hazards versus climate change and their potential impacts in the dry, northern himalayas: focus on the upper kali gandaki (mustang district, nepal)",10.1007/S12665-014-3087-Y
"Urban flood hazard assessment in the basin of athens metropolitan city, greece",10.1007/S12665-015-5157-1
Model-based quantification of runoff generation processes at high spatial and temporal resolution,10.1007/S12665-016-6234-9
"Impact of flash flood recharge on groundwater quality and its suitability in the wadi baysh basin, western saudi arabia: an integrated approach",10.1007/S12665-018-7578-0
"Vulnerability assessment of flash floods in wadi dahab basin, egypt",10.1007/S12665-020-8860-5
Can strategies to cope with hazard shocks be explained by at-risk households' socioeconomic asset profile? Evidence from tropical cyclone-prone coastal bangladesh,10.1007/S13753-017-0119-8
Holistic approach for a multifunctional heavy rain risk information tool,10.1007/S35147-019-0024-8
Strengthening pluvial flood risk management in the southeast region of bangladesh: lessons learnt from the eu policy and practice,10.1007/S40710-019-00393-8
Wrf high resolution simulation of an extreme rainfall event over douala (cameroon): a case study,10.1007/S40808-017-0343-7
Geo-hydrological analysis and sub watershed prioritization for flash flood risk using weighted sum model and snyder's synthetic unit hydrograph,10.1007/S40808-017-0354-4
Risk assessment and reduction measures in landslide and flash flood-prone areas: a case of southern thailand (nakhon si thammarat province),10.1016/B978-0-12-812056-9.00017-8
"Wsud ``best in class-case studies from australia, new zealand, united states, europe, and asia",10.1016/B978-0-12-812843-5.00027-7
A centennial catalogue of hydro-geomorphological events and their atmospheric forcing,10.1016/J.ADVWATRES.2018.10.001
Flood risk and its reduction in china,10.1016/J.ADVWATRES.2019.05.020
"Adaptation strategies to cope with low, high and untimely floods: lessons from the gash spate irrigation system, sudan",10.1016/J.AGWAT.2019.02.035
Impact of costal embankment on the flash flood in bangladesh: a case study,10.1016/J.APGEOG.2004.04.001
Geographical analysis of damage due to flash floods in southern france: the cases of 12-13 november 1999 and 8-9 september 2002,10.1016/J.APGEOG.2008.02.007
Mapping temporally-variable exposure to flooding in small mediterranean basins using land-use indicators,10.1016/J.APGEOG.2010.03.003
A geographical approach to post-flood analysis: the extreme flood event of 12 october 2007 in calpe (spain),10.1016/J.APGEOG.2011.06.003
"Role of rainfall intensity and urban sprawl in the 2014 flash flood in genoa city, bisagno catchment (liguria, italy)",10.1016/J.APGEOG.2018.07.022
Flash flood evolution in north-western mediterranean,10.1016/J.ATMOSRES.2014.05.024
Characterisation of flash floods in small ungauged mountain basins of central spain using an integrated approach,10.1016/J.CATENA.2013.06.015
"Multidisciplinary study of flash floods in the caldera de taburiente national park (canary islands, spain)",10.1016/J.CATENA.2015.03.007
"Geomorphology and pedology of the engaruka archaeological environment, tanzania, and the effects of the 1997-1998 el nino flash-flood",10.1016/J.CATENA.2017.12.024
Exploring community risk perceptions of climate change - a case study of a flood-prone urban area of taiwan,10.1016/J.CITIES.2017.11.001
"Coastal risk assessment framework: comparison of modelled fluvial and marine inundation impacts, bocca di magra, ligurian coast, italy",10.1016/J.COASTALENG.2017.09.011
Towards multi-agency sensor information integration for disaster management,10.1016/J.COMPENVURBSYS.2015.11.005
Mechanical behaviour and load bearing mechanism of high porosity permeable pavements utilizing recycled tire aggregates,10.1016/J.CONBUILDMAT.2018.02.179
Landslides in a changing climate,10.1016/J.EARSCIREV.2016.08.011
How do capital asset interactions affect livelihood sensitivity to climatic stresses? Insights from the northeastern floodplains of bangladesh,10.1016/J.ECOLECON.2018.04.006
"Inherent vulnerability assessment of rural households based on socio-economic indicators using categorical principal component analysis: a case study of kimsar region, uttarakhand",10.1016/J.ECOLIND.2017.10.014
Integrated flood vulnerability assessment approach based on topsis and shannon entropy methods,10.1016/J.ECOLIND.2018.02.015
Catchment controls and human disturbances on the geomorphology of small mediterranean estuarine systems,10.1016/J.ECSS.2014.03.021
"Simulating past severe flood events to evaluate the effectiveness of nonstructural flood countermeasures in the upper chao phraya river basin, thailand",10.1016/J.EJRH.2017.02.001
"Hydrometeorology of the catastrophic blanco river flood in south texas, may 2015",10.1016/J.EJRH.2017.12.001
"Flash flood hazard mapping using satellite images and gis tools: a case study of najran city, kingdom of saudi arabia (ksa)",10.1016/J.EJRS.2015.06.007
Feasibility analysis of a movable bridge compensating for clearance deficit during floods,10.1016/J.ENGSTRUCT.2010.07.007
Reaffirm: real-time assessment of flash flood impacts - a regional high-resolution method,10.1016/J.ENVINT.2019.105375
Integrated analysis of societal vulnerability in an extreme precipitation event: a fort collins case study,10.1016/J.ENVSCI.2012.07.005
Evolution of disaster relief law under multiple transformations: progressive learning or walking in a circle?,10.1016/J.ENVSCI.2017.06.009
Building urban resilience and knowledge co-production in the face of weather hazards: flash floods in the monterrey metropolitan area (mexico),10.1016/J.ENVSCI.2019.05.021
Modelling the complexity of the network of interactions in flood emergency management: the lorca flash flood case,10.1016/J.ENVSOFT.2017.06.026
Vulnerability of hiv/aids orphans to floods in malawi,10.1016/J.GEOFORUM.2017.10.001
Reconstruction of glacial lake outburst floods in northern tien shan: implications for hazard assessment,10.1016/J.GEOMORPH.2016.06.028
"River responses to the 2010 major eruption of the merapi volcano, central java, indonesia",10.1016/J.GEOMORPH.2016.08.025
Quaternary of himalaya,10.1016/J.GEOMORPH.2017.03.005
"Urban flooding in lagos, nigeria: patterns of vulnerability and resilience among women",10.1016/J.GLOENVCHA.2013.08.009
Effectiveness of flood damage mitigation measures: empirical evidence from french flood disasters,10.1016/J.GLOENVCHA.2014.12.007
On predicting debris flows in arid mountain belts,10.1016/J.GLOPLACHA.2014.12.005
Flood induced vulnerability in strategic plan making process of riyadh city,10.1016/J.HABITATINT.2015.05.034
Impacts of a flash flood on drinking water quality: case study of areas most affected by the 2012 beijing flood,10.1016/J.HELIYON.2016.E00071
Recovery and resettlement following the 2011 flash flooding in the lockyer valley,10.1016/J.IJDRR.2014.01.001
"Deluge, disaster and development in uttarakhand himalayan region of india: challenges and lessons for disaster management",10.1016/J.IJDRR.2014.03.002
Assessing risks from climate variability and change for disaster-prone zones in bangladesh,10.1016/J.IJDRR.2014.08.008
Pre-eminence of extreme precipitation event over deforestation: a primary cause of himalayan disaster of june 2013,10.1016/J.IJDRR.2014.09.013
"Assessment of 2010 flash flood causes and associated damages in dir valley, khyber pakhtunkhwa pakistan",10.1016/J.IJDRR.2016.02.009
``we are more scared of the power elites than the floods: adaptive capacity and resilience of wetland community to flash flood disasters in bangladesh,10.1016/J.IJDRR.2016.08.004
Comparing flood mortality in portugal and greece (western and eastern mediterranean),10.1016/J.IJDRR.2017.03.007
Should i stay or should i go? Mitigation strategies for flash flooding in india,10.1016/J.IJDRR.2017.09.019
"Ecosystem based disaster risk reduction approaches (ebdrr) as a prerequisite for inclusive urban transformation of nagpur city, india",10.1016/J.IJDRR.2018.01.018
Public perception of flood risk in flash flood prone areas of eastern mediterranean: the case of attica region in greece,10.1016/J.IJDRR.2018.03.018
Establishing information seeking pathways in slow and flash floods,10.1016/J.IJDRR.2018.04.005
"Understanding historical, cultural and religious frameworks of mountain communities and disasters in nubra valley of ladakh",10.1016/J.IJDRR.2018.06.004
Resilience to flash floods in wetland communities of northeastern bangladesh,10.1016/J.IJDRR.2018.06.011
"Driving into floodwater: a systematic review of risks, behaviour and mitigation",10.1016/J.IJDRR.2018.07.007
"Exploring community resilience and early warning solution for flash floods, debris flow and landslides in conflict prone villages of badakhshan, afghanistan",10.1016/J.IJDRR.2018.07.012
An analysis of the flood management and mitigation measures in zimbabwe for a sustainable future,10.1016/J.IJDRR.2018.07.013
"Disaster scenario simulation of the 2010 cloudburst in leh, ladakh, india",10.1016/J.IJDRR.2018.09.004
An integrated approach of ground and aerial observations in flash flood disaster investigations. The case of the 2017 mandra flash flood in greece,10.1016/J.IJDRR.2018.10.015
"Immediate behavioral response to the june 17, 2013 flash floods in uttarakhand, north india",10.1016/J.IJDRR.2018.11.011
Indigenous mountain people's risk perception to environmental hazards in border conflict areas,10.1016/J.IJDRR.2019.01.002
"A multi-criteria approach for assessing urban flood resilience in tehran, iran",10.1016/J.IJDRR.2019.101069
"Governance and disaster: analysis of land use policy with reference to uttarakhand flood 2013, india",10.1016/J.IJDRR.2019.101090
Investments against flash floods and their effectiveness in china in 2000-2015,10.1016/J.IJDRR.2019.101193
Psychosocial vulnerability and demographic characteristics in extreme flash floods: the case of mandra 2017 flood in greece,10.1016/J.IJDRR.2019.101285
"Application of satellite image processing and gis-spatial modeling for mapping urban areas prone to flash floods in qena governorate, egypt",10.1016/J.JAFREARSCI.2019.05.015
"Multi-criteria decision-making for the analysis of flash floods: a case study of awlad toq-sherq, southeast sohag, egypt",10.1016/J.JAFREARSCI.2019.103709
"Geospatial risk assessment of flash floods in nuweiba area, egypt",10.1016/J.JARIDENV.2016.06.004
"Wadi flood impact assessment of the 2002 cyclonic storm in dhofar, oman under present and future sea level conditions",10.1016/J.JARIDENV.2019.04.002
An approximation method for evaluating flash flooding mitigation of sponge city strategies - a case study of central geelong,10.1016/J.JCLEPRO.2020.120525
Effect of differential forest management on land-use change (luc) in a tropical hill forest of malaysia,10.1016/J.JENVMAN.2017.06.009
Farmers' decisions to adapt to flash floods and landslides in the northern mountainous regions of vietnam,10.1016/J.JENVMAN.2019.109672
Human exposure to flash floods - relation between flood parameters and human vulnerability during a storm of september 2002 in southern france,10.1016/J.JHYDROL.2008.07.044
Remote collection and analysis of witness reports on flash floods,10.1016/J.JHYDROL.2010.05.042
A space and time framework for analyzing human anticipation of flash floods,10.1016/J.JHYDROL.2012.11.009
Analysis of flash flood parameters and human impacts in the us from 2006 to 2012,10.1016/J.JHYDROL.2014.07.004
Building vulnerability to hydro-geomorphic hazards: estimating damage probability from qualitative vulnerability assessment using logistic regression,10.1016/J.JHYDROL.2015.04.017
The deadliest storm of the 20th century striking portugal: flood impacts and atmospheric circulation,10.1016/J.JHYDROL.2015.10.036
Flash flood events recorded by air temperature changes in caves: a case study in covadura cave (se spain),10.1016/J.JHYDROL.2015.10.059
"How do people perceive, understand, and anticipate responding to flash flood risks and warnings? Results from a public survey in boulder, colorado, usa",10.1016/J.JHYDROL.2015.11.047
Analysis of damaging hydrogeological events in a mediterranean region (calabria),10.1016/J.JHYDROL.2015.12.041
Anticipating flash-floods: multi-scale aspects of the social response,10.1016/J.JHYDROL.2016.01.005
"Evaluation of trmm satellite-based precipitation indexes for flood forecasting over riyadh city, saudi arabia",10.1016/J.JHYDROL.2016.01.014
"Assessment of commuters' daily exposure to flash flooding over the roads of the gard region, france",10.1016/J.JHYDROL.2016.01.064
Improvement of resilience of urban areas by integrating social perception in flash-flood risk management,10.1016/J.JHYDROL.2016.02.005
Quantification of flash flood economic risk using ultra-detailed stage-damage functions and 2-d hydraulic models,10.1016/J.JHYDROL.2016.02.006
Meteorological and hydrological analysis of major floods in ne iberian peninsula,10.1016/J.JHYDROL.2016.02.008
"Evaluating the impact and risk of pluvial flash flood on intra-urban road network: a case study in the city center of shanghai, china",10.1016/J.JHYDROL.2016.03.037
Potentialities of ensemble strategies for flood forecasting over the milano urban area,10.1016/J.JHYDROL.2016.05.023
"Comparative hazard analysis of processes leading to remarkable flash floods (france, 1930-1999)",10.1016/J.JHYDROL.2016.05.032
Trends in flash flood events versus convective precipitation in the mediterranean region: the case of catalonia,10.1016/J.JHYDROL.2016.05.040
Modeling flash floods in southern france for road management purposes,10.1016/J.JHYDROL.2016.05.054
Is there really ``nothing you can do? Pathways to enhanced flood-risk preparedness,10.1016/J.JHYDROL.2016.10.009
"Beyond `flood hotspots': modelling emergency service accessibility during flooding in york, uk",10.1016/J.JHYDROL.2016.12.013
Characterization of floods in the united states,10.1016/J.JHYDROL.2017.03.010
Demonstrating the value of community-based ('citizen science') observations for catchment modelling and characterisation,10.1016/J.JHYDROL.2017.03.019
Integrated remote sensing imagery and two-dimensional hydraulic modeling approach for impact evaluation of flood on crop yields,10.1016/J.JHYDROL.2017.08.001
Building socio-hydrological resilient cities against flash floods: key challenges and a practical plan for arid regions,10.1016/J.JHYDROL.2018.07.001
A quantitative methodology for the assessment of the regional economic vulnerability to flash floods,10.1016/J.JHYDROL.2018.08.029
"The 1962 flash flood in the rubi stream (barcelona, spain)",10.1016/J.JHYDROL.2018.09.028
Enhancing flash flood risk perception and awareness of mitigation actions through risk communication: a pre-post survey design,10.1016/J.JHYDROL.2018.11.007
Impact-based flash-flood forecasting system: sensitivity to high resolution numerical weather prediction systems and soil moisture,10.1016/J.JHYDROL.2019.02.055
Risk assessment and sensitivity analysis of flash floods in ungauged basins using coupled hydrologic and hydrodynamic models,10.1016/J.JHYDROL.2019.03.002
Recent advances in vulnerability assessment for the built environment exposed to torrential hazards: challenges and the way forward,10.1016/J.JHYDROL.2019.05.067
"A data-driven analysis of flash flood hazard, fatalities, and damages over the conus during 1996-2017",10.1016/J.JHYDROL.2019.124106
Multi-hazard vulnerability of structures and lifelines due to the 2015 gorkha earthquake and 2017 central nepal flash flood,10.1016/J.JOBE.2018.02.016
Integration of landslide hazard into urban planning across europe,10.1016/J.LANDURBPLAN.2019.103740
Transforming flash floods into resources in arid china,10.1016/J.LANDUSEPOL.2018.03.002
Livelihood exposure to climatic stresses in the north-eastern floodplains of bangladesh,10.1016/J.LANDUSEPOL.2018.08.015
A model to explain information seeking behaviour by individuals in the response phase of a disaster,10.1016/J.LISR.2018.05.001
The ischia island flash flood of november 2009 (italy): phenomenon analysis and flood hazard,10.1016/J.PCE.2011.12.004
Assessment and review of hydrometeorological aspects for cloudburst and flash flood events in the third pole region (indian himalaya),10.1016/J.POLAR.2018.08.004
Aon: a survey on emergency communication systems during a catastrophic disaster,10.1016/J.PROCS.2017.09.166
Analysis and evaluation of flash flood disasters: a case of lingbao county of henan province in china,10.1016/J.PROENG.2016.07.444
Management of risk from flash floods in the south-eastern slovakia,10.1016/J.PROENG.2016.08.781
The flood impact assessment from ilisua catchment area on the environment,10.1016/J.PROENG.2016.08.810
Urban water retention measures,10.1016/J.PROENG.2017.05.358
Tool for decision-making regarding general evacuation during a rapid river flood,10.1016/J.PUHE.2017.01.025
Long and short term population dynamics of acacia trees via remote sensing and spatial analysis: case study in the southern negev desert,10.1016/J.RSE.2017.05.035
Normalized difference flood index for rapid flood mapping: taking advantage of eo big data,10.1016/J.RSE.2018.03.006
"Impacts of coastal reclamation to the quality of life: tanjung tokong community, penang",10.1016/J.SBSPRO.2014.10.050
"Disaster induced resettlement: multi-stakeholder interactions and decision making following tropical storm washi in cagayan de oro, philippines",10.1016/J.SBSPRO.2016.04.008
A review of atmospheric and land surface processes with emphasis on flood generation in the southern himalayan rivers,10.1016/J.SCITOTENV.2016.02.206
Lessons learned from khartoum flash flood impacts: an integrated assessment,10.1016/J.SCITOTENV.2017.05.260
"Gender, age and circumstances analysis of flood and landslide fatalities in italy",10.1016/J.SCITOTENV.2017.08.064
Vulnerability assessment including tangible and intangible components in the index composition: an amazon case study of flooding and flash flooding,10.1016/J.SCITOTENV.2018.02.271
Flood-induced mortality across the globe: spatiotemporal pattern and influencing factors,10.1016/J.SCITOTENV.2018.06.197
Comparison of urbanization and climate change impacts on urban flood volumes: importance of urban planning and drainage adaptation,10.1016/J.SCITOTENV.2018.12.184
