"Applicability of epsilon-support vector machine and artificial neural network for flood forecasting in humid, semi-humid and semi-arid basins in china","10.3390/W11010085"
"Flash flood simulation for ungauged catchments based on the distributed hydrological model","10.3390/W11010076"
"Spatial heterogeneity of temporal shifts in extreme precipitation across india","10.3233/JCC190003"
"Extreme climate event footprint at delhi, india: a comparison of last one decade meteorological conditions","10.3233/JCC190004"
"Multiscale characteristics of an extreme precipitation event over nepal","10.1002/QJ.3418"
"Alluvial stratification styles in a large, flash-flood influenced dryland river: the luni river, thar desert, north-west india","10.1111/SED.12487"
"Utilization of a c-band polarimetric radar for severe rainfall event analysis in complex terrain over eastern china","10.3390/RS11010022"
"Flood hazard mapping and assessment on the angkor world heritage site, cambodia","10.3390/RS11010098"
"A multi-platform hydrometeorological analysis of the flash flood event of 15 november 2017 in attica, greece","10.3390/RS11010045"
"A numerical sensitivity analysis of soil moisture feedback on convective precipitation","10.1175/JHM-D-18-0134.1"
"Climate change-associated hazards, impacts, and vulnerability at regional level","10.1007/978-3-319-94917-8\_2"
"Forecasting pollution transport in drainage water","10.1007/978-3-319-99867-1\_121"
"Fractional floodwater-pixel fusion for emergency response using alos-2 and sentinel-1 data",NA
"Groundwater and flood events in different hydrogeological periods: a case study in the aspio river (marche region)","10.4408/IJEGE.2019-01.O-01"
"Sustainable urban drainage as a viable measure of coping with heat and floods due to climate change","10.1088/1755-1315/257/1/012013"
"Determination of dynamic critical rainfall based on geomorphological instantaneous unit hydrograph and radial basis function neural network","10.15666/AEER/1704\_89158930"
"Modelling and short term forecasting of flash floods in an urban environment",NA
"Risk to residents, infrastructure, and water bodies from flash floods and sediment transport","10.1007/S10661-019-7216-7"
"Effectiveness of artificial floods for benthic community recovery after sediment flushing from a dam","10.1007/S10661-019-7232-7"
"Improved early season management of sub1 rice varieties enhances post-submergence recovery and yield","10.1017/S0014479717000588"
"The characteristics of road inundation during flooding events in peninsular malaysia","10.21660/2019.54.4827"
"Risk scenarios for flash-floods in the rural area generated by combined hazard, technologic and natural","10.26471/CJEES/2019/014/070"
"Exploring community resilience and early warning solution for flash floods, debris flow and landslides in conflict prone villages of badakhshan, afghanistan","10.1016/J.IJDRR.2018.07.012"
"An integrated approach of ground and aerial observations in flash flood disaster investigations. The case of the 2017 mandra flash flood in greece","10.1016/J.IJDRR.2018.10.015"
"Disaster scenario simulation of the 2010 cloudburst in leh, ladakh, india","10.1016/J.IJDRR.2018.09.004"
"Potential of an enkf storm-scale data assimilation system over sparse observation regions with complex orography","10.1016/J.ATMOSRES.2018.10.004"
"Landslide hazard in a changing environment","10.3389/FEART.2019.00003"
"Windshield wipers on connected vehicles produce high-accuracy rainfall maps","10.1038/S41598-018-36282-7"
"Stochastic reconstruction of spatio-temporal rainfall patterns by inverse hydrologic modelling","10.5194/HESS-23-225-2019"
"Atmospheric conditions of extreme precipitation events in western turkey for the period 2006-2015","10.5194/NHESS-19-107-2019"
"A spatial multicriteria prioritizing approach for geo-hydrological risk mitigation planning in small and densely urbanized mediterranean basins","10.5194/NHESS-19-53-2019"
"Ensemble flood forecasting considering dominant runoff processes - part 1: set-up and application to nested basins (emme, switzerland)","10.5194/NHESS-19-19-2019"
"Flash flood risk analysis based on machine learning techniques in the yunnan province, china","10.3390/RS11020170"
"A vulnerability assessment of urban emergency in schools of shanghai","10.3390/SU11020349"
"Archaeology and climate change: evidence of a flash-flood during the lia in asturias (nw spain) and its social consequences","10.1080/14614103.2017.1407469"
"Infrastructure of urban mobility and its articulation with sustainable drainage: the recognition of the composition of its coatings in an excerpt from the city of blumenau / sc",NA
"Scenario of flash flood caused by hypothetical failure of mosul dam in iraq using hec-georas model and gis",NA
"Terminus lakes on the south side of vatnajokull ice cap, se-iceland","10.33799/JOKULL2019.69.001"
"Cost benefit/fiffectiveness analysis of climate change adaptation in potohar region by building rainwater harvesting dams",NA
"Influence of geological structures on the nature of riverbed displacements for the rivers of the dnister basin upper part","10.23939/JGD2019.02.024"
"Extreme rainfalls as a cause of urban flash floods, a case study of the erbil-kurdistan region of iraq",NA
"Flood risk map (case study in kelantan)","10.1088/1755-1315/244/1/012019"
"Applicability of hydrological models for flash flood simulation in small catchments of hilly area in china","10.1515/GEO-2019-0089"
"High heat generating granites of saudi arabian shield: prospect for co2 emissions reduction and climate mitigation",NA
"Flood risk management: implementation of the european directive 2007/60/ec in the autonomous region of madeira","10.18055/FINIS15157"
"Flash flood risk evaluation based on variable fuzzy method and fuzzy clustering analysis","10.3233/JIFS-171089"
"Effects of network density on gridded horizontal distribution of meteorological variables in the seoul metropolitan area","10.14191/ATMOS.2019.29.2.183"
"Flood inundation prediction for extreme flood events: a case study of tirthan river, north west himalaya",NA
"Upper part of the topla river - evaluation of the density of the river network",NA
"Performance of multi-level association rule mining for the relationship between causal factor patterns and flash flood magnitudes in a humid area","10.1080/19475705.2019.1655102"
"Flash floods in urban areas: case studies in reggio calabria (italy)","10.1007/978-3-319-99867-1\_75"
"The nexus between extreme weather events, sexual violence, and early marriage: a study of vulnerable populations in bangladesh","10.1007/S11111-019-0312-3"
"Assessment of satellite-based precipitation measurement products over the hot desert climate of egypt","10.3390/RS11050555"
"Flood hazard assessment of the urban area of tabuk city, kingdom of saudi arabia by integrating spatial-based hydrologic and hydrodynamic modeling","10.3390/S19051024"
"Gis digital mapping of flood hazard in jeddah-makkah region from morphometric analysis","10.1007/S12517-019-4338-8"
"Morphometric analysis of watershed using remote sensing and gisa case study of nanganji river basin in tamil nadu, india","10.1007/S12517-019-4382-4"
"Reconstruction and characterization of the surface drainage system functioning during extreme rainfall: the analysis with use of the als-lidar datathe case study in two small flysch catchments (outer carpathian, poland)","10.1007/S12665-019-8211-6"
"Observing water level extremes in the mekong river basin: the benefit of long-repeat orbit missions in a multi-mission satellite altimetry approach","10.1016/J.JHYDROL.2018.12.041"
"Disaster management dynamics - an analysis of chaos from the flash flood (2013) in the fragile himalayan system","10.1007/S12594-019-1180-2"
"Spatiotemporal variation of rainfall and occurrence of extreme events over burundi during 1960 to 2010","10.1007/S12517-019-4335-Y"
"Immediate behavioral response to the june 17, 2013 flash floods in uttarakhand, north india","10.1016/J.IJDRR.2018.11.011"
"Forensic analysis of flash flood response","10.1002/WAT2.1338"
"Petrography, micromorphology and geochemistry of mio-pleistocene palustrine limestones in kuwait, arabian gulf","10.1007/S12517-019-4309-0"
"Indian summer monsoon: extreme events, historical changes, and role of anthropogenic forcings","10.1002/WCC.571"
"Influence of topographic characteristics on the adaptive time interval for diffusion wave simulation","10.3390/W11030431"
"A simple early warning system for flash floods in an ungauged catchment and application in the loess plateau, china","10.3390/W11030426"
"Dynamic relations for the deposition of sediment on floodplains and point bars of a freely-meandering river","10.1016/J.GEOMORPH.2018.11.032"
"Extreme sediment fluxes in a dryland flash flood","10.1038/S41598-019-38537-3"
"Multiphase equilibrium calculation framework for compositional simulation of co2 injection in low-temperature reservoirs","10.1021/ACS.IECR.8B05229"
"Semi-distributed neural network models for streamflow prediction in a small catchment pinang",NA
"Developing an overall assessment map for flood hazard on large area watershed using multi-method approach: case study of wadi qena watershed, egypt","10.1007/S11069-018-3517-3"
"Real-time urban inundation prediction combining hydraulic and probabilistic methods","10.3390/W11020293"
"Using tabu search adjusted with urban sewer flood simulation to improve pluvial flood warning via rainfall thresholds","10.3390/W11020348"
"Update of early warning indicators of flash floods: a case study of hunjiang district, northeastern china","10.3390/W11020314"
"Bed-load transport in two different-sized mountain catchments: mlynne and lososina streams, polish carpathians","10.3390/W11020272"
"A citizen-contributed gis approach for evaluating the impacts of land use on hurricane-harvey-induced flooding in houston area","10.3390/LAND8020025"
"A new very high-resolution climatological dataset in portugal: application to hydrological modeling in a mountainous watershed","10.1016/J.PCE.2018.06.001"
"Flood risk assessment and mapping using ahp in arid and semiarid regions","10.1007/S11600-018-0233-Z"
"Pixel-based geometric assessment of channel networks/orders derived from global spaceborne digital elevation models","10.3390/RS11030235"
"Comparing the infiltration potentials of soils beneath the canopies of two contrasting urban tree species","10.1016/J.UFUG.2018.11.002"
"Perspectives for flood risk assessment and management for mega-city metro system","10.1016/J.TUST.2018.10.019"
"Water temperature drives phytoplankton blooms in coastal waters","10.1371/JOURNAL.PONE.0214933"
"Rapid mapping of small-scale river-floodplain environments using uav sfm supports classical theory","10.3390/RS11080982"
"Assessing the impact of resolution and soil datasets on flash-flood modelling","10.5194/HESS-23-1801-2019"
"Frequency analysis of flash floods for establishing new danger levels for the rivers in the northeast haor region of bangladesh","10.1061/(ASCE)HE.1943-5584.0001760"
"Recommendations for improving integration in national end-to-end flood forecasting systems: an overview of the ffir (flooding from intense rainfall) programme","10.3390/W11040725"
"How can existing ground-based profiling instruments improve european weather forecasts?","10.1175/BAMS-D-17-0231.1"
"Flash floods and groundwater evaluation for the non-gauged dryland catchment using remote sensing, gis and dc resistivity data: a case study from the eastern desert of egypt","10.1016/J.JAFREARSCI.2019.02.004"
"Natural disasters, economic growth and spatial spillovers: evidence from a flash flood in brazil","10.1111/PIRS.12380"
"Indigenous mountain people's risk perception to environmental hazards in border conflict areas","10.1016/J.IJDRR.2019.01.002"
"Natural hazards - their drivers, mechanisms and impacts in the shyok-nubra valley, nw himalaya, india","10.1016/J.IJDRR.2019.101094"
"A multi-criteria approach for assessing urban flood resilience in tehran, iran","10.1016/J.IJDRR.2019.101069"
"Representation of western disturbances in cmip5 models","10.1175/JCLI-D-18-0420.1"
"Development of a streamflow-dominated alluvial-fan system in the southwestern margin of gyeongsang basin (lower cretaceous): implications for initial basin-fill history","10.1007/S12303-018-0073-5"
"Flash-flood potential assessment in the upper and middle sector of prahova river catchment (romania). A comparative approach between four hybrid models","10.1016/J.SCITOTENV.2018.12.397"
"Massive benthic litter funnelled to deep sea by flash-flood generated hyperpycnal flows","10.1038/S41598-019-41816-8"
"Investigating resilience barriers of small and medium-sized enterprises to flash floods: a quantile regression of determining factors","10.1080/17565529.2019.1596782"
"Comparison of urbanization and climate change impacts on urban flood volumes: importance of urban planning and drainage adaptation","10.1016/J.SCITOTENV.2018.12.184"
"Trigger characteristics of torrential flows from high to low alpine regions in austria","10.1016/J.SCITOTENV.2018.12.206"
"Analysis of lateral sediment connectivity and its connection to debris flow intensity patterns at different return periods in the fella river system in northeastern italy","10.1016/J.SCITOTENV.2018.12.288"
"Impact of land use changes on flash flood prediction using a sub-daily swat model in five mediterranean ungauged watersheds (se spain)","10.1016/J.SCITOTENV.2018.12.034"
"Is alternate wetting and drying irrigation technique enough to reduce methane emission from a tropical rice paddy?","10.1080/00380768.2019.1579615"
"A model for archaeologically relevant holocene climate impacts in the aegean-levantine region (easternmost mediterranean)","10.1016/J.QUASCIREV.2019.02.009"
"Risk-based early warning system for pluvial flash floods: approaches and foundations","10.3390/GEOSCIENCES9030127"
"Gridded flash flood risk index coupling statistical approaches and toplats land surface model for mountainous areas","10.3390/W11030504"
"Synergistic approach of remote sensing and gis techniques for flash-flood monitoring and damage assessment in thessaly plain area, greece","10.3390/W11030448"
"Geospatial analysis of surface hydrological parameters for kyushu island, japan","10.1007/S11069-018-3528-0"
"City-scale hydrodynamic modelling of urban flash floods: the issues of scale and resolution","10.1007/S11069-018-3553-Z"
"Late quaternary geomorphology and geoarchaeology in the rivers of the holy cross mountains region, central europe","10.1017/QUA.2018.55"
"Storm catalog-based analysis of rainfall heterogeneity and frequency in a complex terrain","10.1029/2018WR023567"
"Real-time measurement of flash-flood in a wadi area by lspiv and stiv","10.3390/HYDROLOGY6010027"
"A physically based spatiotemporal method of analyzing flood impacts on urban road networks","10.1007/S11069-019-03630-3"
"Impact of unsteady flow events on bedload transport: a review of laboratory experiments","10.3390/W11050907"
"The association between hydro-meteorological events and leptospirosis hospitalizations in santa catarina, brazil","10.3390/W11051052"
"A study on climate-driven flash flood risks in the boise river watershed, idaho","10.3390/W11051039"
"Use of artificial intelligence to improve resilience and preparedness against adverse flood events","10.3390/W11050973"
"Application of backpack-mounted mobile mapping system and rainfall-runoff-inundation model for flash flood analysis","10.3390/W11050963"
"Landscape design as a tool to reduce soil salinization: the study case of keriya oasis (nw china)","10.3390/SU11092578"
"A robust early warning system for preventing flash floods in mountainous area in vietnam","10.3390/IJGI8050228"
"A collaborative change detection approach on multi-sensor spatial imagery for desert wetland monitoring after a flash flood in southern morocco","10.3390/RS11091042"
"Genesis of poikilotopic zeolite in aeolianites: an example from the parnaiba basin, ne brazil","10.1016/J.SEDGEO.2019.03.013"
"Fuzzy risk assessment of flash floods using a cloud-based information diffusion approach","10.1007/S11269-019-02266-Z"
"Calculation of critical rainfall for small-watershed flash floods based on the hec-hms hydrological model","10.1007/S11269-019-02257-0"
"Risk assessment and sensitivity analysis of flash floods in ungauged basins using coupled hydrologic and hydrodynamic models","10.1016/J.JHYDROL.2019.03.002"
"Impact-based flash-flood forecasting system: sensitivity to high resolution numerical weather prediction systems and soil moisture","10.1016/J.JHYDROL.2019.02.055"
"Comparison of two early warning systems for regional flash flood hazard forecasting","10.1016/J.JHYDROL.2019.03.026"
"Sensitivity evaluation of the flash flood warning system introduced to ungauged small mountainous basins in korea","10.1007/S11629-018-4984-4"
"Governance and disaster: analysis of land use policy with reference to uttarakhand flood 2013, india","10.1016/J.IJDRR.2019.101090"
"Functional responses of aquatic macroinvertebrates to flow regulation are shaped by natural flow intermittence in mediterranean streams","10.1111/FWB.13289"
"Establishing an early warning system for flash floods in hoang su phi district, ha giang province, vietnam","10.1111/SJTG.12276"
"Flash flood schlep ability estimation in vertical distribution law of the precipitation area: a case of xulong gully, southwest china","10.1007/S12517-019-4463-4"
"Hydrograph peak-shaving using a graph-theoretic algorithm for placement of hydraulic control structures","10.1016/J.ADVWATRES.2019.03.016"
"Viral dispersal in the coastal zone: a method to quantify water quality risk","10.1016/J.ENVINT.2019.02.042"
"Changes in streamflow and sediment for a planned large reservoir in the middle yellow river","10.1002/LDR.3274"
"Sensitivity of midlatitude heavy precipitation to sst: a case study in the sea of japan area on 9 august 2013","10.1029/2018JD029503"
"An unusual extreme rainfall event in canberra australia on february 2018","10.1029/2019JD030420"
"Synoptic-scale precursors of extreme uk summer 3-hourly rainfall","10.1029/2018JD029664"
"Exposure of tourism development to salt karst hazards along the jordanian dead sea shore","10.5194/HESS-23-2111-2019"
"Measuring disaster resilience in the philippines: evidence using network data envelopment analysis","10.1080/17565529.2019.1599317"
"Rainfall intensity bursts and the erosion of soils: an analysis highlighting the need for high temporal resolution rainfall data for research under current and future climates","10.5194/ESURF-7-345-2019"
"Propagation of uncertainties in interpolated rainfields to runoff errors","10.1080/02626667.2019.1593989"
"Meff: the database of mediterranean flood fatalities (1980 to 2015)","10.1111/JFR3.12461"
"Evaluating metropolitan flood coping capabilities under heavy storms","10.1061/(ASCE)HE.1943-5584.0001793"
"Flash flood susceptibility modelling using geomorphometric approach in the ushairy basin, eastern hindu kush","10.1007/S12040-019-1111-Z"
"Simulation of the radiative effect of haze on the urban hydrological cycle using reanalysis data in beijing","10.5194/ACP-19-7001-2019"
"Adaptation strategies to cope with low, high and untimely floods: lessons from the gash spate irrigation system, sudan","10.1016/J.AGWAT.2019.02.035"
"Implementation and evaluation of a convective/stratiform precipitation scheme in attica region, greece","10.1016/J.ATMOSRES.2019.01.011"
"An approach to revising the climate forecast system reanalysis rainfall data in a sparsely-gauged mountain basin","10.1016/J.ATMOSRES.2019.01.014"
"A checklist of rheophytes of cameroon","10.3897/PHYTOKEYS.121.29924"
"A method for urban flood risk assessment and zoning considering road environments and terrain","10.3390/SU11102734"
"The spatiotemporal distribution of flash floods and analysis of partition driving forces in yunnan province","10.3390/SU11102926"
"Makran continental margin sedimentation during the late holocene","10.1139/CJES-2018-0087"
"Wadi flood impact assessment of the 2002 cyclonic storm in dhofar, oman under present and future sea level conditions","10.1016/J.JARIDENV.2019.04.002"
"Stochastic spectral method for radar-based probabilistic precipitation nowcasting","10.1175/JTECH-D-18-0242.1"
"Hydro-meteorological approach for the estimation of hurricane-induced floods","10.1111/JFR3.12454"
"Disaster risk resilience in colima-villa de alvarez, mexico: application of the resilience index to flash flooding events","10.3390/IJERPH16122128"
"Envelope curves for the specific discharge of extreme floods in malaysia","10.1016/J.JHER.2019.05.002"
"Study on the impact of rainfall pattern in small watersheds on rainfall warning index of flash flood event","10.1007/S11069-019-03666-5"
"Nowcasting and real-time monitoring of heavy rainfall events inducing flash-floods: an application to phlegraean area (central-southern italy)","10.1007/S11069-019-03680-7"
"A new flash flood warning scheme based on hydrodynamic modelling","10.3390/W11061221"
"Non-stationary bayesian modeling of annual maximum floods in a changing environment and implications for flood management in the kabul river basin, pakistan","10.3390/W11061246"
"A preliminary study of the failure modes and process of landslide dams due to upstream flow","10.3390/W11061115"
"An urban flash flood alert tool for megacities-application for manhattan, new york city, usa","10.3390/HYDROLOGY6020056"
"Long-term analysis of gauge-adjusted radar rainfall accumulations at european scale","10.1016/J.JHYDROL.2019.03.093"
"Predicting hourly flows at ungauged small rural catchments using a parsimonious hydrological model","10.1016/J.JHYDROL.2019.03.090"
"The necessity of integration of flood risk reduction strategies with spatial planning decisions in turkey, by comparing exemplary practices in developed countries","10.15320/ICONARP.2019.70"
"Trends analysis of rainfall and rainfall extremes in sarawak, malaysia using modified mann-kendall test","10.1007/S00703-017-0564-3"
"Extreme variabilities of rainfall and runoff regime within vulnerable hydrographic river basins. Case study: elan river basin, 2016 (romania)","10.2478/PESD-2019-0010"
"Evaluation of convection-permitting precipitation forecast products using wrf, nmmb, and fv3 for the 2016-17 noaa hydrometeorology testbed flash flood and intense rainfall experiments","10.1175/WAF-D-18-0155.1"
"Downstream impacts of the ranganadi hydel project in brahmaputra basin, india: implications for design of future projects","10.1016/J.ENVDEV.2019.04.005"
"Evaluation of high-resolution ensemble precipitation forecasts for early flood warnings in small-scale river basins during the heavy rainfall period 2016 in germany","10.5675/HYWA\_2019.3\_1"
"Trends in an increased dependence towards hydropower energy utilization-a short review","10.1080/23311916.2019.1631541"
"A new metric to diagnose precipitation distribution in transitioning tropical cyclones","10.15191/NWAJOM.2019.0705"
"The effects of global change on floods, fluvial geomorphology and related hazards in mountainous rivers","10.1016/J.SCITOTENV.2019.03.026"
"Channel control works and sediment connectivity in the european alps","10.1016/J.SCITOTENV.2019.02.416"
"Flash flood susceptibility modeling using an optimized fuzzy rule based feature selection technique and tree based ensemble methods","10.1016/J.SCITOTENV.2019.02.422"
"Environmental health effects attributed to toxic and infectious agents following hurricanes, cyclones, flash floods and major hydrometeorological events","10.1080/10937404.2019.1654422"
"A modified multiple-mixing-cell algorithm for minimum miscibility pressure prediction with the consideration of the asphaltene-precipitation effect","10.1021/ACS.IECR.9B02928"
"Investigating the gpm dual-frequency precipitation radar signatures of low-level precipitation enhancement","10.1002/QJ.3611"
"Flood modelling using the distributed event-based scs-lr model in the mediterranean real collobrier catchment","10.1080/02626667.2019.1639715"
"Fully coupled free-surface flow and sediment transport modelling of flash floods in a desert stream in the mojave desert, california","10.1002/HYP.13527"
"Real-time monitoring and estimation of the discharge of flash floods in a steep mountain catchment","10.1002/HYP.13551"
"Enhancement of large-scale flood risk assessments using building-material-based vulnerability curves for an object-based approach in urban and rural areas","10.5194/NHESS-19-1703-2019"
"Assessing sub-daily rainstorm variability and its effects on flood processes in the yangtze river delta region","10.1080/02626667.2019.1645332"
"Brief communication: preliminary hydro-meteorological analysis of the flash flood of 20 august 2018 in raganello gorge, southern italy","10.5194/NHESS-19-1619-2019"
"A new intelligence approach based on gis-based multivariate adaptive regression splines and metaheuristic optimization for predicting flash flood susceptible areas at high-frequency tropical typhoon area","10.1016/J.JHYDROL.2019.05.046"
"Recent advances in vulnerability assessment for the built environment exposed to torrential hazards: challenges and the way forward","10.1016/J.JHYDROL.2019.05.067"
"An ensemble neural network model for real-time prediction of urban floods","10.1016/J.JHYDROL.2019.05.066"
"Integrating hydrodynamic model and monte carlo simulation for predicting extreme water levels in a river system","10.3319/TAO.2019.01.18.01"
"Flash flood prediction in small to medium-sized watersheds. Case study: bistra river (apuseni mountains, romania)","10.26471/CJEES/2019/014/093"
"Investigating the role of green infrastructure in sustainable urban water management, a case study in szeged","10.26471/CJEES/2019/014/097"
"Flood forecasting and warning system structures: procedure and application to a small urban stream in south korea","10.3390/W11081571"
"Flood fatalities in europe, 1980-2018: variability, features, and lessons to learn","10.3390/W11081682"
"Forecasting high-impact weather in landfalling tropical cyclones using a warn-on-forecast system","10.1175/BAMS-D-18-0203.1"
"Comprehensive assessment and rechecking of rainfall threshold for flash floods based on the disaster information","10.1007/S11269-019-02321-9"
"Flash flood climatology in the lower region of southern sindh",NA
"Investments against flash floods and their effectiveness in china in 2000-2015","10.1016/J.IJDRR.2019.101193"
"Evaluation of supercell storm triggering factors based on a cloud resolving model simulation","10.1007/S13143-018-0070-7"
"Water balance components of the potential agricultural grabens along the rift valley in northern ethiopia","10.1016/J.EJRH.2019.100616"
"Diagnosing moisture sources for flash floods in the united states. Part i: kinematic trajectories","10.1175/JHM-D-18-0119.1"
"Diagnosing moisture sources for flash floods in the united states. Part ii: terrestrial and oceanic sources of moisture","10.1175/JHM-D-18-0120.1"
"Urban planning and climate change in ghana","10.1016/J.JUM.2019.02.002"
"Impact of urbanization on basin hydrology: a case study of the malir basin, karachi, pakistan","10.1007/S10113-019-01512-9"
"Estimating the reliability of a rainwater catchment system using the output data of general circulation models for the future period (case study: birjand city, iran)","10.1007/S00704-018-2714-Z"
"Flood risk and its reduction in china","10.1016/J.ADVWATRES.2019.05.020"
"Improving probabilistic hydroclimatic projections through high-resolution convection-permitting climate modeling and markov chain monte carlo simulations","10.1007/S00382-019-04702-7"
"Vulnerability reduction and adaptation to climate change through watershed management in st. Vincent and the grenadines","10.1007/S10708-018-9914-Z"
"Increased flash flooding in genoa metropolitan area: a combination of climate changes and soil consumption?","10.1007/S00703-018-0623-4"
"Assessing performance of porous pavements and bioretention cells for stormwater management in response to probable climatic changes","10.1016/J.JENVMAN.2019.05.012"
"A novel hybrid approach based on a swarm intelligence optimized extreme learning machine for flash flood susceptibility mapping","10.1016/J.CATENA.2019.04.009"
"Investigating hydrologic responses to spatio-temporal characteristics of storms using a dynamic moving storm generator","10.1002/HYP.13524"
"Spatial and temporal patterns of water salinity in the marginal grabens of ethiopia's danakil depression","10.1002/LDR.3321"
"Impact of managed aquifer recharge structure on river flow regimes in arid and semi-arid climates","10.1016/J.SCITOTENV.2019.04.253"
"Performance evaluation of wrf for extreme flood forecasts in a coastal urban environment","10.1016/J.ATMOSRES.2019.03.005"
"An integrated approach in developing flood vulnerability index of india using spatial multi-criteria evaluation technique","10.18520/CS/V117/I1/80-86"
"The arome-wmed reanalyses of the first special observation period of the hydrological cycle in the mediterranean experiment (hymex)","10.5194/GMD-12-2657-2019"
"Application of the warn-on-forecast system for flash-flood-producing heavy convective rainfall events","10.1002/QJ.3568"
"Some population dynamics issues of pink salmon oncorhynchus gorbuscha temporal forms on sakhalin and the southern kuril islands","10.1134/S003294521903007X"
"Integration of satellite remote sensing and geophysical techniques (electrical resistivity tomography and ground penetrating radar) for landslide characterization at kunjethi (kalimath), garhwal himalaya, india","10.1007/S11069-019-03695-0"
"Comparative analysis of two rainfall retrieval algorithms during extreme rainfall event: a case study on cloudburst, 2010 over ladakh (leh), jammu and kashmir","10.1007/S11069-019-03714-0"
"A regional scale-invariant extreme value model of rainfall intensity-duration-area-frequency relationships","10.1029/2018WR024368"
"Precipitation estimation methods in continuous, distributed urban hydrologic modeling","10.3390/W11071340"
"Flash flood forecasting using support vector regression model in a small mountainous catchment","10.3390/W11071327"
"Perceptions, knowledge and adaptation about climate change: a study on farmers of haor areas after a flash flood in bangladesh","10.3390/CLI7070085"
"A gis-based support vector machine model for flash flood vulnerability assessment and mapping in china","10.3390/IJGI8070297"
"Flash-flood potential index mapping using weights of evidence, decision trees models and their novel hybrid integration","10.1007/S00477-019-01689-9"
